Source,Destination,Protocol,SrcPort,DstPort,DataSize,Duration
10.11.70.63,10.11.71.255,17,5684,5684,4520,4.195949
0.0.0.0,255.255.255.255,17,68,445,1788,9.631607
10.11.70.254,202.114.0.131,17,64960,53,4068,7.006226
202.114.0.131,10.11.70.254,17,53,64960,6369,6.862882
10.11.69.148,239.255.255.250,17,55190,1900,636,2.974169
10.11.70.97,239.255.255.250,17,56236,2200,1203,15.36563
10.11.70.97,239.255.255.250,17,56237,2200,1604,15.359715
10.11.70.97,239.255.255.250,17,2200,2200,1604,15.363922
10.11.71.235,239.255.255.250,17,2200,2200,1604,15.353264
10.11.71.79,239.255.255.250,17,65403,1900,715,12.899986
10.11.71.254,255.255.255.255,17,67,68,684,0
14.18.251.118,10.11.70.254,6,11015,56988,120,15.357041
10.11.70.254,14.18.251.118,6,56988,11015,108,15.357034
10.11.68.13,224.0.0.251,17,37846,5353,162,9.923897
10.11.70.219,224.0.0.251,17,5353,5353,816,0.941062
10.11.70.254,202.114.0.131,17,64961,53,2012,5.053279
202.114.0.131,10.11.70.254,17,53,64961,3111,5.051516
10.11.70.219,224.0.0.252,17,53356,5355,62,0
10.11.70.219,224.0.0.252,17,49664,5355,124,0.420571
10.11.70.254,43.141.132.124,6,13920,443,55,0
43.141.132.124,10.11.70.254,6,443,13920,70,0
10.11.70.254,216.239.38.223,6,37205,443,264,7.021323
10.11.70.254,216.239.38.223,6,37206,443,264,7.024907
10.11.70.254,183.93.116.87,6,14056,443,55,0
183.93.116.87,10.11.70.254,6,443,14056,66,0
10.11.70.254,43.141.132.124,6,44599,443,55,0
43.141.132.124,10.11.70.254,6,443,44599,70,0
10.11.70.254,43.141.132.124,6,3162,443,55,0
10.11.68.72,224.0.0.251,17,5353,5353,840,0.825351
43.141.132.124,10.11.70.254,6,443,3162,70,0
10.11.68.72,224.0.0.252,17,60820,5355,128,0.407843
10.11.68.72,10.11.71.255,17,137,137,276,1.432525
10.11.68.72,224.0.0.252,17,58210,5355,128,0.407843
10.11.70.114,239.255.255.250,17,49246,1900,848,2.969782
10.11.70.254,202.114.0.131,17,64962,53,1009,1.994893
202.114.0.131,10.11.70.254,17,53,64962,1406,2.129966
10.11.70.254,157.148.63.240,6,31625,14000,1278,0.139589
157.148.63.240,10.11.70.254,6,14000,31625,446,0.051598
10.11.70.254,118.126.124.248,17,58319,3478,67,0
118.126.124.248,10.11.70.254,17,3478,58319,108,0
10.11.69.211,224.0.0.251,17,54154,5353,81,0
10.11.70.254,118.126.124.248,17,58318,3478,70,0
118.126.124.248,10.11.70.254,17,3478,58318,110,0
